1.52	0.58	287	400	200
1.56666666666667	0.1	953	1200	600
1.572	0.032	1562	2000	1000
1.57428571428571	0.0457142857142858	2200	2800	1400
1.56666666666667	0.0511111111111111	2848	3600	1800
1.564	0.004	3152	4000	2000
1.56666666666667	0.0086666666666666	9434	12000	6000
1.5712	0.00719999999999987	15732	20000	10000
1.57171428571429	0.00342857142857134	22007	28000	14000
1.57066666666667	0.00577777777777788	28275	36000	18000
1.5716	0.00479999999999992	31416	40000	20000
1.57113333333333	0.00160000000000005	94282	120000	60000
1.57036	0.000439999999999996	157114	200000	100000
1.57051428571429	0.000514285714285689	219921	280000	140000
1.57082222222222	0.000666666666666815	282738	360000	180000
1.57064	0.000360000000000138	314160	400000	200000
1.57082	2.66666666668414E-05	942532	1200000	600000
1.570772	0.000148000000000037	1570838	2000000	1000000
1.57081142857143	5.9999999999949E-05	2199115	2800000	1400000
1.57076222222222	4.22222222222768E-05	2827402	3600000	1800000
