0.2	0.145221311398308	0.72610655699154
0.4	0.238105985969284	0.595264964923211
0.6	0.292800303230065	0.488000505383442
0.8	0.320051738469479	0.400064673086849
1	0.327974525767303	0.327974525767303
1.2	0.322649680327338	0.268874733606115
1.4	0.308594280542125	0.220424486101518
1.6	0.289127644237921	0.1807047776487
1.8	0.266656318596074	0.148142399220041
2	0.242895255158198	0.121447627579099
2.2	0.219038913088959	0.0995631423131633
2.4	0.195893155691691	0.0816221482048713
2.6	0.173976511552035	0.0669140429046288
2.8	0.153597560766805	0.0548562717024302
3	0.134913760528413	0.044971253509471
3.2	0.117975889096147	0.0368674653425458
3.4	0.102761378370172	0.0302239348147564
3.6	0.0891990986598456	0.0247775274055127
3.8	0.0771875913914578	0.0203125240503836
4	0.066608308560759	0.0166520771401897
4.2	0.0573350642676885	0.0136512057780211
4.4	0.0492406358124843	0.0111910535937464
4.6	0.0422012330305884	0.00917418109360617
4.8	0.0360993910987604	0.00752070647890843
5	0.0308257080221827	0.00616514160443655
5.2	0.0262797505456597	0.00505379818185764
5.4	0.0223703708992661	0.00414266127764188
5.6	0.0190156181857869	0.00339564610460481
5.8	0.0161423792597411	0.0027831688378864
6	0.0136858497686932	0.00228097496144886
6.2	0.0115889077469243	0.00186917866885875
6.4	0.00980144192266179	0.00153147530041591
6.6	0.0082796712515761	0.0012544956441782
6.8	0.00698547998575192	0.00102727646849293
7	0.00588578553805893	0.00084082650543699
7.2	0.00495194731395852	0.000687770460272017
7.4	0.00415922306229782	0.000562057170580786
7.6	0.00348627190011456	0.000458719986857179
7.8	0.00291470691693898	0.000373680373966536
8	0.00242869224106558	0.000303586530133197
8.2	0.00201458552527426	0.000245681161618812
8.4	0.00166061717044817	0.000197692520291449
8.6	0.00135660696156191	0.000157744995530455
8.8	0.00109370925549744	0.000124285142670163
9	0.000864188225649419	9.60209139610466E-05
9.2	0.000661213797812686	7.18710649796397E-05
9.4	0.000478678901128438	5.09232873540892E-05
9.6	0.000311029476366586	3.2398903788186E-05
9.8	0.000153107506097969	1.5623214907956E-05
