6	0.00145537713099297
6.04	0.00136252634729039
6.08	0.00128055858340048
6.12	0.00119693450423608
6.16	0.00111594878487165
6.2	0.0010428565457592
6.24	0.000977545167071825
6.28	0.000918027930205567
6.32	0.000853491631909065
6.36	0.000795705543417458
6.4	0.000743920684249555
6.44	0.000701041153469029
6.48	0.000651386952904232
6.52	0.000604660729297324
6.56	0.00056292821865056
6.6	0.000526541686782234
6.64	0.000495127614580038
6.68	0.000456799629100169
6.72	0.000423193202101935
6.76	0.000394424505972157
6.8	0.000370278280478753
6.84	0.000345973304218816
6.88	0.000319271948651667
6.92	0.000291707654933804
6.96	0.000270531545300545
7	0.000255993738181415
7.04	0.000238903350291642
7.08	0.00021921593079044
7.12	0.000201835442239173
7.16	0.000186835155365439
7.2	0.000174402550284003
7.24	0.000161678477517913
7.28	0.000147471326146897
7.32	0.000134477254683962
7.36	0.000123233861922811
7.4	0.000114002947226632
7.44	0.000106946934798402
7.48	9.58411114528879E-05
7.52	8.61522287018968E-05
7.56	7.80682076466643E-05
7.6	7.14214583841244E-05
7.64	6.72494921818423E-05
7.68	5.87692078277691E-05
7.72	5.14358388132852E-05
7.76	4.52670981138104E-05
7.8	4.01634454844091E-05
7.84	3.63984475366674E-05
7.88	3.17994079278572E-05
7.92	2.63850268436006E-05
7.96	2.18986051450099E-05
8	1.83143347318726E-05
8.04	1.55725275734486E-05
8.08	1.30156104457546E-05
8.12	1.04958387253662E-05
8.16	6.61696696924174E-06
8.2	2.23214762828938E-06
8.24	6.29955601350041E-07
8.28	1.32747764380881E-06
8.32	2.63123264221399E-06
8.36	4.43434285046784E-06
8.4	7.15073481805106E-06
8.44	9.38478990653024E-06
8.48	1.11784994356601E-05
8.52	1.25585365897685E-05
8.56	1.35387168491707E-05
8.6	1.42230513708874E-05
8.64	1.62403072918593E-05
8.68	1.77663494278502E-05
8.72	1.89808601231967E-05
8.76	1.98086207741088E-05
8.8	2.02915691367433E-05
8.84	2.08103664958159E-05
8.88	2.2117295499724E-05
8.92	2.32387826699654E-05
8.96	2.41518039865163E-05
9	2.48226231156501E-05
9.04	2.52024775051485E-05
9.08	2.53981184270557E-05
9.12	2.62810562241533E-05
9.16	2.69405396999822E-05
9.2	2.74460276510347E-05
9.24	2.76995988885975E-05
9.28	2.77926171481369E-05
9.32	2.803982686439E-05
9.36	2.80212502028476E-05
9.4	2.84148622271552E-05
9.44	2.90364554620393E-05
9.48	2.98712119009004E-05
9.52	2.97651358505124E-05
9.56	2.98606189206296E-05
9.6	2.98154126965322E-05
9.64	2.96327776820871E-05
9.68	2.99301137247632E-05
9.72	3.03162422781167E-05
9.76	3.05748875277789E-05
9.8	3.07527854430667E-05
9.84	3.08465055667284E-05
9.88	3.0859795926208E-05
9.92	3.0789228414152E-05
9.96	3.08375949880091E-05
